frame_number,avg_ear,pitch,yaw,status,face_detected
465,0.2654,2.1,3.74,ALERTT,True
466,0.2668,1.7,3.19,ALERTT,True
467,0.2636,1.58,3.37,ALERTT,True
468,0.2589,1.78,3.53,ALERTT,True
469,0.2601,1.51,3.21,ALERTT,True
470,0.2588,1.64,4.45,ALERTT,True
471,0.2558,1.86,3.71,ALERTT,True
472,0.2481,2.21,4.22,ALERTT,True
473,0.2531,2.4,3.22,ALERTT,True
474,0.252,2.11,3.71,ALERTT,True
475,0.25,2.43,2.64,ALERTT,True
476,0.2531,2.77,3.1,ALERTT,True
477,0.2518,2.89,3.03,ALERTT,True
478,0.2524,2.72,3.57,ALERTT,True
479,0.2507,2.86,4.18,ALERTT,True
480,0.247,2.93,3.97,ALERTT,True
481,0.2504,3.2,2.68,ALERTT,True
482,0.2516,3.28,2.95,ALERTT,True
483,0.252,3.2,3.93,ALERTT,True
484,0.2578,3.46,3.55,ALERTT,True
485,0.2584,3.75,3.89,ALERTT,True
